iter	Passed	Remaining
0	149	44706
1	153	22838
2	156	15460
3	159	11787
4	162	9570
5	165	8099
6	168	7038
7	171	6250
8	173	5622
9	176	5118
10	179	4719
11	181	4367
12	184	4071
13	187	3824
14	189	3602
15	192	3423
16	195	3252
17	197	3098
18	200	2960
19	202	2838
20	205	2729
21	208	2632
22	210	2540
23	214	2462
24	217	2389
25	221	2331
26	226	2285
27	229	2230
28	233	2184
29	239	2152
30	245	2131
31	250	2097
32	255	2065
33	259	2031
34	264	1998
35	268	1966
36	272	1934
37	276	1904
38	279	1872
39	283	1841
40	286	1811
41	290	1784
42	293	1756
43	298	1737
44	302	1716
45	307	1699
46	312	1679
47	316	1662
48	321	1646
49	325	1625
50	328	1604
51	331	1583
52	335	1564
53	341	1556
54	351	1567
55	363	1585
56	372	1589
57	378	1580
58	382	1561
59	388	1553
60	397	1559
61	408	1567
62	417	1570
63	421	1554
64	426	1541
65	430	1527
66	435	1514
67	439	1498
68	442	1481
69	445	1464
70	448	1446
71	451	1430
72	454	1413
73	457	1397
74	460	1382
75	463	1366
76	467	1352
77	470	1338
78	473	1324
79	476	1310
80	479	1297
81	482	1283
82	485	1269
83	488	1255
84	490	1241
85	493	1228
86	496	1215
87	499	1203
88	501	1189
89	504	1177
90	507	1165
91	509	1152
92	513	1141
93	515	1129
94	518	1118
95	521	1107
96	523	1096
97	527	1086
98	529	1075
99	533	1066
100	536	1056
101	539	1046
102	541	1036
103	544	1025
104	546	1015
105	549	1005
106	551	994
107	554	985
108	557	976
109	560	967
110	562	958
111	565	948
112	567	939
113	570	931
114	573	922
115	575	912
116	577	903
117	580	894
118	582	885
119	584	877
120	587	869
121	589	860
122	592	853
123	595	844
124	597	836
125	600	829
126	603	821
127	606	814
128	609	807
129	611	799
130	614	792
131	617	785
132	619	778
133	622	771
134	625	763
135	627	757
136	631	750
137	634	744
138	636	737
139	639	730
140	641	723
141	643	716
142	646	709
143	649	703
144	651	696
145	654	690
146	657	684
147	660	678
148	663	672
149	666	666
150	669	660
151	671	654
152	674	648
153	677	642
154	681	637
155	683	631
156	686	624
157	688	619
158	691	612
159	694	607
160	697	602
161	700	596
162	703	591
163	706	585
164	709	580
165	724	585
166	728	579
167	731	574
168	734	569
169	737	564
170	740	558
171	742	552
172	745	547
173	747	541
174	750	535
175	753	530
176	756	525
177	758	520
178	762	515
179	764	509
180	766	504
181	770	499
182	773	494
183	776	489
184	778	484
185	781	478
186	783	473
187	786	468
188	788	463
189	791	458
190	794	453
191	796	447
192	798	442
193	801	438
194	804	432
195	806	427
196	809	423
197	811	418
198	813	413
199	816	408
200	819	403
201	821	398
202	825	394
203	827	389
204	830	384
205	833	380
206	835	375
207	838	370
208	841	366
209	843	361
210	845	356
211	849	352
212	851	347
213	853	343
214	856	338
215	859	334
216	861	329
217	864	325
218	867	320
219	869	316
220	871	311
221	874	307
222	876	302
223	879	298
224	881	293
225	883	289
226	885	284
227	888	280
228	890	276
229	892	271
230	895	267
231	897	263
232	900	258
233	902	254
234	905	250
235	908	246
236	911	242
237	913	238
238	916	233
239	919	229
240	923	225
241	926	222
242	930	218
243	932	214
244	936	210
245	938	206
246	941	202
247	944	198
248	947	194
249	949	189
250	953	186
251	955	182
252	958	178
253	961	174
254	963	170
255	965	165
256	968	162
257	971	158
258	973	154
259	976	150
260	978	146
261	981	142
262	984	138
263	986	134
264	989	130
265	991	126
266	994	122
267	997	119
268	1000	115
269	1003	111
270	1005	107
271	1008	103
272	1010	99
273	1012	96
274	1015	92
275	1017	88
276	1020	84
277	1023	81
278	1026	77
279	1028	73
280	1031	69
281	1033	65
282	1035	62
283	1037	58
284	1040	54
285	1042	51
286	1044	47
287	1047	43
288	1049	39
289	1051	36
290	1054	32
291	1057	28
292	1060	25
293	1063	21
294	1065	18
295	1067	14
296	1069	10
297	1072	7
298	1074	3
299	1076	0
