iter	Passed	Remaining
0	141	56366
1	148	29495
2	155	20623
3	160	15907
4	166	13129
5	172	11296
6	176	9928
7	183	9007
8	188	8168
9	193	7555
10	199	7052
11	203	6592
12	209	6231
13	215	5946
14	219	5642
15	224	5393
16	228	5154
17	232	4933
18	238	4784
19	242	4610
20	247	4471
21	251	4318
22	255	4189
23	260	4074
24	265	3981
25	270	3889
26	274	3785
27	279	3719
28	286	3664
29	290	3588
30	295	3521
31	300	3452
32	304	3386
33	308	3326
34	313	3268
35	318	3223
36	323	3177
37	330	3144
38	334	3099
39	338	3042
40	341	2993
41	346	2951
42	350	2911
43	355	2879
44	360	2842
45	364	2805
46	370	2784
47	374	2747
48	378	2710
49	382	2676
50	386	2642
51	390	2614
52	395	2589
53	399	2561
54	404	2534
55	407	2504
56	411	2476
57	415	2447
58	418	2417
59	421	2388
60	424	2360
61	427	2332
62	431	2307
63	435	2284
64	438	2259
65	441	2236
66	445	2212
67	448	2191
68	452	2171
69	456	2149
70	459	2130
71	463	2113
72	468	2096
73	472	2083
74	476	2064
75	480	2046
76	483	2027
77	487	2012
78	491	1995
79	494	1976
80	497	1958
81	500	1941
82	504	1927
83	507	1910
84	511	1895
85	514	1879
86	518	1863
87	522	1851
88	525	1837
89	530	1826
90	535	1817
91	539	1807
92	543	1795
93	546	1780
94	550	1767
95	554	1754
96	557	1741
97	561	1730
98	565	1718
99	569	1709
100	573	1698
101	577	1686
102	581	1677
103	587	1671
104	590	1659
105	595	1650
106	598	1639
107	618	1671
108	607	1621
109	628	1656
110	633	1648
111	622	1600
112	643	1633
113	646	1622
114	634	1573
115	638	1562
116	642	1553
117	661	1581
118	665	1572
119	669	1562
120	658	1518
121	663	1511
122	667	1503
123	671	1495
124	675	1487
125	679	1478
126	684	1471
127	687	1461
128	691	1452
129	695	1443
130	698	1435
131	702	1426
132	706	1419
133	710	1409
134	713	1401
135	717	1392
136	720	1383
137	724	1375
138	727	1366
139	731	1357
140	734	1348
141	738	1340
142	742	1334
143	746	1327
144	749	1318
145	761	1325
146	765	1316
147	768	1308
148	772	1300
149	775	1292
150	779	1285
151	782	1277
152	787	1270
153	790	1262
154	793	1253
155	796	1245
156	799	1237
157	802	1229
158	806	1221
159	810	1215
160	813	1207
161	818	1201
162	821	1195
163	825	1188
164	829	1181
165	835	1177
166	840	1172
167	843	1164
168	846	1156
169	849	1149
170	852	1141
171	855	1133
172	859	1127
173	862	1119
174	865	1112
175	869	1106
176	872	1099
177	875	1091
178	881	1087
179	884	1081
180	888	1075
181	891	1068
182	895	1061
183	898	1054
184	901	1048
185	904	1040
186	908	1034
187	911	1027
188	914	1021
189	917	1014
190	921	1007
191	923	1000
192	927	994
193	931	988
194	935	983
195	938	976
196	941	970
197	945	964
198	949	959
199	953	953
200	957	947
201	960	941
202	964	936
203	967	929
204	971	924
205	974	917
206	977	911
207	980	904
208	984	899
209	987	893
210	990	887
211	993	881
212	996	875
213	999	868
214	1002	862
215	1005	856
216	1009	851
217	1012	845
218	1015	839
219	1018	833
220	1021	827
221	1024	821
222	1027	815
223	1031	810
224	1034	804
225	1038	799
226	1041	793
227	1044	788
228	1047	782
229	1050	776
230	1053	770
231	1056	764
232	1059	759
233	1061	753
234	1064	747
235	1067	741
236	1070	736
237	1073	730
238	1075	724
239	1079	719
240	1082	714
241	1087	709
242	1099	710
243	1102	705
244	1105	699
245	1109	694
246	1112	688
247	1115	683
248	1118	678
249	1121	672
250	1124	667
251	1127	662
252	1130	657
253	1134	652
254	1137	647
255	1140	641
256	1143	636
257	1146	631
258	1149	625
259	1153	620
260	1155	615
261	1158	610
262	1161	604
263	1164	599
264	1167	594
265	1170	589
266	1173	584
267	1175	579
268	1178	573
269	1181	569
270	1185	564
271	1188	559
272	1191	554
273	1193	548
274	1196	543
275	1199	538
276	1202	534
277	1205	529
278	1208	524
279	1211	519
280	1214	514
281	1217	509
282	1221	504
283	1223	499
284	1227	495
285	1230	490
286	1233	485
287	1237	481
288	1240	476
289	1243	471
290	1247	467
291	1250	462
292	1254	458
293	1257	453
294	1262	449
295	1266	444
296	1269	440
297	1273	435
298	1276	431
299	1279	426
300	1283	422
301	1287	417
302	1290	413
303	1293	408
304	1297	404
305	1299	399
306	1303	394
307	1307	390
308	1311	386
309	1317	382
310	1321	378
311	1325	373
312	1329	369
313	1333	365
314	1337	360
315	1341	356
316	1344	352
317	1347	347
318	1350	343
319	1354	338
320	1358	334
321	1361	329
322	1364	325
323	1368	321
324	1372	316
325	1376	312
326	1379	308
327	1384	303
328	1389	299
329	1393	295
330	1396	291
331	1400	286
332	1403	282
333	1407	278
334	1411	273
335	1414	269
336	1417	265
337	1420	260
338	1425	256
339	1428	252
340	1432	247
341	1434	243
342	1437	238
343	1440	234
344	1443	230
345	1446	225
346	1449	221
347	1452	217
348	1455	212
349	1458	208
350	1461	204
351	1464	199
352	1467	195
353	1469	191
354	1473	186
355	1475	182
356	1478	178
357	1481	173
358	1485	169
359	1491	165
360	1499	161
361	1505	158
362	1513	154
363	1517	150
364	1521	145
365	1525	141
366	1530	137
367	1534	133
368	1539	129
369	1544	125
370	1549	121
371	1553	116
372	1557	112
373	1562	108
374	1566	104
375	1570	100
376	1574	96
377	1578	91
378	1581	87
379	1585	83
380	1590	79
381	1593	75
382	1595	70
383	1597	66
384	1599	62
385	1601	58
386	1603	53
387	1605	49
388	1607	45
389	1610	41
390	1612	37
391	1616	32
392	1618	28
393	1620	24
394	1625	20
395	1629	16
396	1632	12
397	1635	8
398	1637	4
399	1640	0
