threshold,avg_cost,accuracy,tp,fp,fn,tn
0.0,0.3706293706293706,0.6293706293706294,90,53,0,0
0.005,0.3706293706293706,0.6293706293706294,90,53,0,0
0.01,0.3706293706293706,0.6293706293706294,90,53,0,0
0.015,0.3706293706293706,0.6293706293706294,90,53,0,0
0.02,0.3706293706293706,0.6293706293706294,90,53,0,0
0.025,0.3706293706293706,0.6293706293706294,90,53,0,0
0.03,0.16083916083916083,0.8391608391608392,90,23,0,30
0.035,0.11188811188811189,0.8881118881118881,90,16,0,37
0.04,0.0979020979020979,0.9020979020979021,90,14,0,39
0.045,0.09090909090909091,0.9090909090909091,90,13,0,40
0.05,0.08391608391608392,0.916083916083916,90,12,0,41
0.055,0.08391608391608392,0.916083916083916,90,12,0,41
0.06,0.07692307692307693,0.9230769230769231,90,11,0,42
0.065,0.07692307692307693,0.9230769230769231,90,11,0,42
0.07,0.06993006993006994,0.9300699300699301,90,10,0,43
0.075,0.06993006993006994,0.9300699300699301,90,10,0,43
0.08,0.06993006993006994,0.9300699300699301,90,10,0,43
0.085,0.055944055944055944,0.9440559440559441,90,8,0,45
0.09,0.055944055944055944,0.9440559440559441,90,8,0,45
0.095,0.055944055944055944,0.9440559440559441,90,8,0,45
0.1,0.055944055944055944,0.9440559440559441,90,8,0,45
0.105,0.055944055944055944,0.9440559440559441,90,8,0,45
0.11,0.055944055944055944,0.9440559440559441,90,8,0,45
0.115,0.055944055944055944,0.9440559440559441,90,8,0,45
0.12,0.055944055944055944,0.9440559440559441,90,8,0,45
0.125,0.055944055944055944,0.9440559440559441,90,8,0,45
0.13,0.055944055944055944,0.9440559440559441,90,8,0,45
0.135,0.055944055944055944,0.9440559440559441,90,8,0,45
0.14,0.055944055944055944,0.9440559440559441,90,8,0,45
0.145,0.055944055944055944,0.9440559440559441,90,8,0,45
0.15,0.055944055944055944,0.9440559440559441,90,8,0,45
0.155,0.04895104895104895,0.951048951048951,90,7,0,46
0.16,0.04895104895104895,0.951048951048951,90,7,0,46
0.165,0.04895104895104895,0.951048951048951,90,7,0,46
0.17,0.08391608391608392,0.9440559440559441,89,7,1,46
0.17500000000000002,0.08391608391608392,0.9440559440559441,89,7,1,46
0.18,0.08391608391608392,0.9440559440559441,89,7,1,46
0.185,0.08391608391608392,0.9440559440559441,89,7,1,46
0.19,0.07692307692307693,0.951048951048951,89,6,1,47
0.195,0.07692307692307693,0.951048951048951,89,6,1,47
0.2,0.07692307692307693,0.951048951048951,89,6,1,47
0.20500000000000002,0.07692307692307693,0.951048951048951,89,6,1,47
0.21,0.07692307692307693,0.951048951048951,89,6,1,47
0.215,0.06993006993006994,0.958041958041958,89,5,1,48
0.22,0.06993006993006994,0.958041958041958,89,5,1,48
0.225,0.06993006993006994,0.958041958041958,89,5,1,48
0.23,0.06993006993006994,0.958041958041958,89,5,1,48
0.23500000000000001,0.06993006993006994,0.958041958041958,89,5,1,48
0.24,0.06993006993006994,0.958041958041958,89,5,1,48
0.245,0.06993006993006994,0.958041958041958,89,5,1,48
0.25,0.06993006993006994,0.958041958041958,89,5,1,48
0.255,0.06993006993006994,0.958041958041958,89,5,1,48
0.26,0.06993006993006994,0.958041958041958,89,5,1,48
0.265,0.06993006993006994,0.958041958041958,89,5,1,48
0.27,0.06993006993006994,0.958041958041958,89,5,1,48
0.275,0.06293706293706294,0.965034965034965,89,4,1,49
0.28,0.06293706293706294,0.965034965034965,89,4,1,49
0.28500000000000003,0.06293706293706294,0.965034965034965,89,4,1,49
0.29,0.06293706293706294,0.965034965034965,89,4,1,49
0.295,0.06293706293706294,0.965034965034965,89,4,1,49
0.3,0.06293706293706294,0.965034965034965,89,4,1,49
0.305,0.06293706293706294,0.965034965034965,89,4,1,49
0.31,0.06293706293706294,0.965034965034965,89,4,1,49
0.315,0.06293706293706294,0.965034965034965,89,4,1,49
0.32,0.06293706293706294,0.965034965034965,89,4,1,49
0.325,0.06293706293706294,0.965034965034965,89,4,1,49
0.33,0.06293706293706294,0.965034965034965,89,4,1,49
0.335,0.06293706293706294,0.965034965034965,89,4,1,49
0.34,0.06293706293706294,0.965034965034965,89,4,1,49
0.34500000000000003,0.06293706293706294,0.965034965034965,89,4,1,49
0.35000000000000003,0.0979020979020979,0.958041958041958,88,4,2,49
0.355,0.0979020979020979,0.958041958041958,88,4,2,49
0.36,0.0979020979020979,0.958041958041958,88,4,2,49
0.365,0.0979020979020979,0.958041958041958,88,4,2,49
0.37,0.0979020979020979,0.958041958041958,88,4,2,49
0.375,0.0979020979020979,0.958041958041958,88,4,2,49
0.38,0.0979020979020979,0.958041958041958,88,4,2,49
0.385,0.0979020979020979,0.958041958041958,88,4,2,49
0.39,0.0979020979020979,0.958041958041958,88,4,2,49
0.395,0.0979020979020979,0.958041958041958,88,4,2,49
0.4,0.0979020979020979,0.958041958041958,88,4,2,49
0.405,0.0979020979020979,0.958041958041958,88,4,2,49
0.41000000000000003,0.0979020979020979,0.958041958041958,88,4,2,49
0.41500000000000004,0.0979020979020979,0.958041958041958,88,4,2,49
0.42,0.0979020979020979,0.958041958041958,88,4,2,49
0.425,0.0979020979020979,0.958041958041958,88,4,2,49
0.43,0.0979020979020979,0.958041958041958,88,4,2,49
0.435,0.0979020979020979,0.958041958041958,88,4,2,49
0.44,0.0979020979020979,0.958041958041958,88,4,2,49
0.445,0.0979020979020979,0.958041958041958,88,4,2,49
0.45,0.0979020979020979,0.958041958041958,88,4,2,49
0.455,0.0979020979020979,0.958041958041958,88,4,2,49
0.46,0.0979020979020979,0.958041958041958,88,4,2,49
0.465,0.0979020979020979,0.958041958041958,88,4,2,49
0.47000000000000003,0.0979020979020979,0.958041958041958,88,4,2,49
0.47500000000000003,0.0979020979020979,0.958041958041958,88,4,2,49
0.48,0.0979020979020979,0.958041958041958,88,4,2,49
0.485,0.0979020979020979,0.958041958041958,88,4,2,49
0.49,0.0979020979020979,0.958041958041958,88,4,2,49
0.495,0.0979020979020979,0.958041958041958,88,4,2,49
0.5,0.0979020979020979,0.958041958041958,88,4,2,49
0.505,0.0979020979020979,0.958041958041958,88,4,2,49
0.51,0.0979020979020979,0.958041958041958,88,4,2,49
0.515,0.0979020979020979,0.958041958041958,88,4,2,49
0.52,0.0979020979020979,0.958041958041958,88,4,2,49
0.525,0.0979020979020979,0.958041958041958,88,4,2,49
0.53,0.0979020979020979,0.958041958041958,88,4,2,49
0.535,0.0979020979020979,0.958041958041958,88,4,2,49
0.54,0.0979020979020979,0.958041958041958,88,4,2,49
0.545,0.0979020979020979,0.958041958041958,88,4,2,49
0.55,0.0979020979020979,0.958041958041958,88,4,2,49
0.555,0.0979020979020979,0.958041958041958,88,4,2,49
0.56,0.0979020979020979,0.958041958041958,88,4,2,49
0.5650000000000001,0.0979020979020979,0.958041958041958,88,4,2,49
0.5700000000000001,0.0979020979020979,0.958041958041958,88,4,2,49
0.5750000000000001,0.0979020979020979,0.958041958041958,88,4,2,49
0.58,0.0979020979020979,0.958041958041958,88,4,2,49
0.585,0.0979020979020979,0.958041958041958,88,4,2,49
0.59,0.0979020979020979,0.958041958041958,88,4,2,49
0.595,0.13286713286713286,0.951048951048951,87,4,3,49
0.6,0.13286713286713286,0.951048951048951,87,4,3,49
0.605,0.16783216783216784,0.9440559440559441,86,4,4,49
0.61,0.16783216783216784,0.9440559440559441,86,4,4,49
0.615,0.16783216783216784,0.9440559440559441,86,4,4,49
0.62,0.16783216783216784,0.9440559440559441,86,4,4,49
0.625,0.16783216783216784,0.9440559440559441,86,4,4,49
0.63,0.16783216783216784,0.9440559440559441,86,4,4,49
0.635,0.16783216783216784,0.9440559440559441,86,4,4,49
0.64,0.16783216783216784,0.9440559440559441,86,4,4,49
0.645,0.16783216783216784,0.9440559440559441,86,4,4,49
0.65,0.16783216783216784,0.9440559440559441,86,4,4,49
0.655,0.16783216783216784,0.9440559440559441,86,4,4,49
0.66,0.16783216783216784,0.9440559440559441,86,4,4,49
0.665,0.16083916083916083,0.951048951048951,86,3,4,50
