rule_id,prediction,coverage,covered_count,precision,fidelity,accuracy_vs_true,conditions
1,1,0.0,0,,,,worst radius <= 0.1234 AND worst concave points <= 0.3244 AND area error <= 1.2691 AND area error <= 0.2308
2,1,0.0,0,,,,worst radius <= 0.1234 AND worst concave points <= 0.3244 AND area error <= 1.2691 AND area error > 0.2308
3,0,0.0,0,,,,worst radius <= 0.1234 AND worst concave points <= 0.3244 AND area error > 1.2691
4,1,0.0,0,,,,worst radius <= 0.1234 AND worst concave points > 0.3244 AND worst texture <= -0.0140 AND mean concave points <= 0.8196
5,0,0.0,0,,,,worst radius <= 0.1234 AND worst concave points > 0.3244 AND worst texture <= -0.0140 AND mean concave points > 0.8196
6,1,0.0,0,,,,worst radius <= 0.1234 AND worst concave points > 0.3244 AND worst texture > -0.0140 AND worst symmetry <= -0.3524
7,0,0.0,0,,,,worst radius <= 0.1234 AND worst concave points > 0.3244 AND worst texture > -0.0140 AND worst symmetry > -0.3524
8,1,0.0,0,,,,worst radius > 0.1234 AND texture error <= -1.3006
9,1,0.0,0,,,,worst radius > 0.1234 AND texture error > -1.3006 AND worst concavity <= -0.3971 AND mean texture <= 0.4626
10,0,0.0,0,,,,worst radius > 0.1234 AND texture error > -1.3006 AND worst concavity <= -0.3971 AND mean texture > 0.4626
11,0,1.0,143,0.3706293706293706,0.35664335664335667,0.3706293706293706,worst radius > 0.1234 AND texture error > -1.3006 AND worst concavity > -0.3971
